seqStart,timeStart,timeEnd,chg,AOF
172,00:02:03,00:01:21,-5.0,"BELL,THOMAS"
172,00:02:03,00:01:21,-5.0,"HAMLET,JAVION"
172,00:02:03,00:01:21,-5.0,"SIMMONS,ZACHARY"
172,00:02:03,00:01:21,-5.0,"REESE,JAMES"
172,00:02:03,00:01:21,-5.0,"MCBRIDE,MARDREZ"
33,00:31:57,00:30:37,-3.0,"SIMMONS,ZACHARY"
33,00:31:57,00:30:37,-3.0,"MCBRIDE,MARDREZ"
33,00:31:57,00:30:37,-3.0,"JONES,RUBIN"
33,00:31:57,00:30:37,-3.0,"BELL,THOMAS"
152,00:07:28,00:07:08,-3.0,"MCBRIDE,MARDREZ"
152,00:07:28,00:07:08,-3.0,"HAMLET,JAVION"
152,00:07:28,00:07:08,-3.0,"BELL,THOMAS"
152,00:07:28,00:07:08,-3.0,"REESE,JAMES"
152,00:07:28,00:07:08,-3.0,"SIMMONS,ZACHARY"
33,00:31:57,00:30:37,-3.0,"REESE,JAMES"
29,00:32:49,00:32:02,-2.0,"BELL,THOMAS"
29,00:32:49,00:32:02,-2.0,"MCBRIDE,MARDREZ"
29,00:32:49,00:32:02,-2.0,"LEWIS II,TERENCE"
46,00:29:14,00:28:18,-2.0,"LEWIS II,TERENCE"
29,00:32:49,00:32:02,-2.0,"REESE,JAMES"
29,00:32:49,00:32:02,-2.0,"JONES,RUBIN"
161,00:05:46,00:02:46,-2.0,"BELL,THOMAS"
46,00:29:14,00:28:18,-2.0,"MURRAY,JJ"
128,00:12:15,00:11:26,-2.0,"REESE,JAMES"
104,00:17:20,00:16:55,-2.0,"SIMMONS,ZACHARY"
104,00:17:20,00:16:55,-2.0,"REESE,JAMES"
104,00:17:20,00:16:55,-2.0,"MCBRIDE,MARDREZ"
104,00:17:20,00:16:55,-2.0,"HAMLET,JAVION"
104,00:17:20,00:16:55,-2.0,"BELL,THOMAS"
46,00:29:14,00:28:18,-2.0,"JONES,RUBIN"
128,00:12:15,00:11:26,-2.0,"SIMMONS,ZACHARY"
46,00:29:14,00:28:18,-2.0,"HAMLET,JAVION"
161,00:05:46,00:02:46,-2.0,"MCBRIDE,MARDREZ"
161,00:05:46,00:02:46,-2.0,"HAMLET,JAVION"
128,00:12:15,00:11:26,-2.0,"BELL,THOMAS"
128,00:12:15,00:11:26,-2.0,"HAMLET,JAVION"
161,00:05:46,00:02:46,-2.0,"SIMMONS,ZACHARY"
128,00:12:15,00:11:26,-2.0,"MCBRIDE,MARDREZ"
46,00:29:14,00:28:18,-2.0,"BELL,THOMAS"
161,00:05:46,00:02:46,-2.0,"REESE,JAMES"
0,00:40:00,00:35:45,-1.0,"BELL,THOMAS"
145,00:08:26,00:07:28,-1.0,"MCBRIDE,MARDREZ"
145,00:08:26,00:07:28,-1.0,"BELL,THOMAS"
90,00:20:45,00:17:20,-1.0,"BELL,THOMAS"
90,00:20:45,00:17:20,-1.0,"HAMLET,JAVION"
90,00:20:45,00:17:20,-1.0,"MCBRIDE,MARDREZ"
90,00:20:45,00:17:20,-1.0,"REESE,JAMES"
90,00:20:45,00:17:20,-1.0,"SIMMONS,ZACHARY"
145,00:08:26,00:07:28,-1.0,"REESE,JAMES"
145,00:08:26,00:07:28,-1.0,"HAMLET,JAVION"
145,00:08:26,00:07:28,-1.0,"SIMMONS,ZACHARY"
0,00:40:00,00:35:45,-1.0,"SIMMONS,ZACHARY"
0,00:40:00,00:35:45,-1.0,"HAMLET,JAVION"
0,00:40:00,00:35:45,-1.0,"MCBRIDE,MARDREZ"
0,00:40:00,00:35:45,-1.0,"REESE,JAMES"
25,00:33:43,00:32:49,0.0,"BELL,THOMAS"
121,00:13:53,00:12:15,0.0,"SIMMONS,ZACHARY"
121,00:13:53,00:12:15,0.0,"REESE,JAMES"
85,00:21:40,00:20:45,0.0,"HAMLET,JAVION"
85,00:21:40,00:20:45,0.0,"LEWIS II,TERENCE"
85,00:21:40,00:20:45,0.0,"MCBRIDE,MARDREZ"
85,00:21:40,00:20:45,0.0,"REESE,JAMES"
85,00:21:40,00:20:45,0.0,"SIMMONS,ZACHARY"
18,00:35:45,00:35:17,0.0,"SIMMONS,ZACHARY"
18,00:35:45,00:35:17,0.0,"REESE,JAMES"
18,00:35:45,00:35:17,0.0,"MCBRIDE,MARDREZ"
18,00:35:45,00:35:17,0.0,"HAMLET,JAVION"
40,00:30:37,00:29:14,0.0,"REESE,JAMES"
40,00:30:37,00:29:14,0.0,"SIMMONS,ZACHARY"
121,00:13:53,00:12:15,0.0,"MCBRIDE,MARDREZ"
121,00:13:53,00:12:15,0.0,"HAMLET,JAVION"
121,00:13:53,00:12:15,0.0,"BELL,THOMAS"
116,00:15:02,00:13:53,0.0,"SIMMONS,ZACHARY"
116,00:15:02,00:13:53,0.0,"REESE,JAMES"
116,00:15:02,00:13:53,0.0,"MCBRIDE,MARDREZ"
116,00:15:02,00:13:53,0.0,"HAMLET,JAVION"
116,00:15:02,00:13:53,0.0,"BELL,THOMAS"
113,00:15:39,00:15:02,0.0,"SIMMONS,ZACHARY"
113,00:15:39,00:15:02,0.0,"REESE,JAMES"
113,00:15:39,00:15:02,0.0,"BELL,THOMAS"
18,00:35:45,00:35:17,0.0,"BELL,THOMAS"
77,00:22:54,00:22:38,0.0,"REESE,JAMES"
77,00:22:54,00:22:38,0.0,"SIMMONS,ZACHARY"
77,00:22:54,00:22:38,0.0,"HAMLET,JAVION"
31,00:32:02,00:31:57,0.0,"BELL,THOMAS"
65,00:25:38,00:25:14,0.0,"SIMMONS,ZACHARY"
65,00:25:38,00:25:14,0.0,"REESE,JAMES"
65,00:25:38,00:25:14,0.0,"MCBRIDE,MARDREZ"
65,00:25:38,00:25:14,0.0,"JONES,RUBIN"
65,00:25:38,00:25:14,0.0,"HAMLET,JAVION"
25,00:33:43,00:32:49,0.0,"MURRAY,JJ"
31,00:32:02,00:31:57,0.0,"JONES,RUBIN"
31,00:32:02,00:31:57,0.0,"MCBRIDE,MARDREZ"
31,00:32:02,00:31:57,0.0,"MURRAY,JJ"
31,00:32:02,00:31:57,0.0,"REESE,JAMES"
40,00:30:37,00:29:14,0.0,"BELL,THOMAS"
40,00:30:37,00:29:14,0.0,"HAMLET,JAVION"
40,00:30:37,00:29:14,0.0,"MCBRIDE,MARDREZ"
113,00:15:39,00:15:02,0.0,"HAMLET,JAVION"
77,00:22:54,00:22:38,0.0,"MCBRIDE,MARDREZ"
25,00:33:43,00:32:49,0.0,"LEWIS II,TERENCE"
132,00:11:26,00:11:11,0.0,"REESE,JAMES"
77,00:22:54,00:22:38,0.0,"BELL,THOMAS"
72,00:23:39,00:22:54,0.0,"SIMMONS,ZACHARY"
72,00:23:39,00:22:54,0.0,"REESE,JAMES"
72,00:23:39,00:22:54,0.0,"MCBRIDE,MARDREZ"
132,00:11:26,00:11:11,0.0,"SIMMONS,ZACHARY"
72,00:23:39,00:22:54,0.0,"BELL,THOMAS"
72,00:23:39,00:22:54,0.0,"JONES,RUBIN"
25,00:33:43,00:32:49,0.0,"JONES,RUBIN"
132,00:11:26,00:11:11,0.0,"BELL,THOMAS"
132,00:11:26,00:11:11,0.0,"HAMLET,JAVION"
132,00:11:26,00:11:11,0.0,"MCBRIDE,MARDREZ"
25,00:33:43,00:32:49,0.0,"HAMLET,JAVION"
113,00:15:39,00:15:02,0.0,"MCBRIDE,MARDREZ"
175,00:01:21,00:00:38,1.0,"MCBRIDE,MARDREZ"
175,00:01:21,00:00:38,1.0,"HAMLET,JAVION"
175,00:01:21,00:00:38,1.0,"BELL,THOMAS"
79,00:22:38,00:21:40,1.0,"SIMMONS,ZACHARY"
175,00:01:21,00:00:38,1.0,"SIMMONS,ZACHARY"
79,00:22:38,00:21:40,1.0,"BELL,THOMAS"
79,00:22:38,00:21:40,1.0,"HAMLET,JAVION"
79,00:22:38,00:21:40,1.0,"MCBRIDE,MARDREZ"
79,00:22:38,00:21:40,1.0,"REESE,JAMES"
175,00:01:21,00:00:38,1.0,"REESE,JAMES"
22,00:34:37,00:33:43,1.0,"SIMMONS,ZACHARY"
22,00:34:37,00:33:43,1.0,"LEWIS II,TERENCE"
22,00:34:37,00:33:43,1.0,"HAMLET,JAVION"
22,00:34:37,00:33:43,1.0,"JONES,RUBIN"
22,00:34:37,00:33:43,1.0,"REESE,JAMES"
53,00:28:18,00:26:38,2.0,"JONES,RUBIN"
53,00:28:18,00:26:38,2.0,"LEWIS II,TERENCE"
53,00:28:18,00:26:38,2.0,"MURRAY,JJ"
60,00:26:38,00:25:38,2.0,"BELL,THOMAS"
60,00:26:38,00:25:38,2.0,"HAMLET,JAVION"
53,00:28:18,00:26:38,2.0,"HAMLET,JAVION"
53,00:28:18,00:26:38,2.0,"BELL,THOMAS"
170,00:02:46,00:02:03,2.0,"SIMMONS,ZACHARY"
170,00:02:46,00:02:03,2.0,"HAMLET,JAVION"
170,00:02:46,00:02:03,2.0,"MCBRIDE,MARDREZ"
170,00:02:46,00:02:03,2.0,"REESE,JAMES"
60,00:26:38,00:25:38,2.0,"LEWIS II,TERENCE"
20,00:35:17,00:34:37,2.0,"SIMMONS,ZACHARY"
20,00:35:17,00:34:37,2.0,"REESE,JAMES"
20,00:35:17,00:34:37,2.0,"JONES,RUBIN"
20,00:35:17,00:34:37,2.0,"HAMLET,JAVION"
20,00:35:17,00:34:37,2.0,"BELL,THOMAS"
170,00:02:46,00:02:03,2.0,"BELL,THOMAS"
112,00:16:02,00:15:39,2.0,"SIMMONS,ZACHARY"
112,00:16:02,00:15:39,2.0,"REESE,JAMES"
60,00:26:38,00:25:38,2.0,"MCBRIDE,MARDREZ"
112,00:16:02,00:15:39,2.0,"MCBRIDE,MARDREZ"
112,00:16:02,00:15:39,2.0,"HAMLET,JAVION"
112,00:16:02,00:15:39,2.0,"BELL,THOMAS"
106,00:16:55,00:16:02,2.0,"SIMMONS,ZACHARY"
106,00:16:55,00:16:02,2.0,"REESE,JAMES"
106,00:16:55,00:16:02,2.0,"MCBRIDE,MARDREZ"
106,00:16:55,00:16:02,2.0,"HAMLET,JAVION"
106,00:16:55,00:16:02,2.0,"BELL,THOMAS"
69,00:24:29,00:23:39,2.0,"SIMMONS,ZACHARY"
69,00:24:29,00:23:39,2.0,"REESE,JAMES"
69,00:24:29,00:23:39,2.0,"MURRAY,JJ"
69,00:24:29,00:23:39,2.0,"MCBRIDE,MARDREZ"
69,00:24:29,00:23:39,2.0,"JONES,RUBIN"
60,00:26:38,00:25:38,2.0,"REESE,JAMES"
67,00:25:14,00:24:29,3.0,"HAMLET,JAVION"
67,00:25:14,00:24:29,3.0,"MCBRIDE,MARDREZ"
67,00:25:14,00:24:29,3.0,"JONES,RUBIN"
67,00:25:14,00:24:29,3.0,"REESE,JAMES"
67,00:25:14,00:24:29,3.0,"SIMMONS,ZACHARY"
154,00:07:08,00:05:46,4.0,"SIMMONS,ZACHARY"
154,00:07:08,00:05:46,4.0,"REESE,JAMES"
154,00:07:08,00:05:46,4.0,"MCBRIDE,MARDREZ"
154,00:07:08,00:05:46,4.0,"HAMLET,JAVION"
154,00:07:08,00:05:46,4.0,"BELL,THOMAS"
134,00:11:11,00:08:26,8.0,"BELL,THOMAS"
134,00:11:11,00:08:26,8.0,"HAMLET,JAVION"
134,00:11:11,00:08:26,8.0,"MCBRIDE,MARDREZ"
134,00:11:11,00:08:26,8.0,"REESE,JAMES"
134,00:11:11,00:08:26,8.0,"SIMMONS,ZACHARY"
